id,northing,easting,altitude,start,stop,sd1500,sd750
1745,6108726.75,463378.89,1436.26,893203200,1,1,0
1746,6107435.09,462624.85,1438.94,892857600,1,1,0
1747,6108732.19,460380.09,1459.74,896572800,1,1,0
1748,6103534.93,463375.79,1432.34,906249600,1,1,0
1749,6103534.37,461873.5,1437.89,892944000,1,1,0
1750,6102249.58,465625.77,1422.32,906249600,1,1,0
1751,6106281.76,463341.15,1436.45,896832000,1,1,0
1752,6106140.29,464866.15,1430.48,893030400,1,1,0
1753,6102228.5,467130.62,1417.7,896832000,1,1,0
1754,6103424.78,464873.74,1425.97,906249600,1,1,0
1755,6111327.07,455873.61,1509.3,901411200,1,1,0
1756,6103534.82,469373.85,1412.4,949674955,979985660,1,0
1757,6104617.53,462721.54,1436.92,949680762,1,1,0
1758,6103533.7,466373.67,1422.03,949679647,1,1,0
1759,6103528.82,467877.47,1414.76,949674955,979993486,1,0
1778,6104827.34,464128.34,1422.28,1045316427,1,1,0
1779,6116533.88,469382.3,1422.56,953337600,1,1,0
1781,6120407.79,465624.18,1432.72,951436800,1,1,0
1782,6090540.22,455876.77,1430.76,954115200,1,1,0
1783,6090520.51,454374.79,1434.11,1004371356,1,1,0
1784,6094460.9,458126.71,1435.82,954028800,1,1,0
1785,6095758.5,457367.87,1444.27,954028800,1,1,0
1787,6093144.88,454373.62,1440.9,954115200,1,1,0
